"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","test_filter_by_group_id_returns_correct_min","tests","Sat Apr 11 10:51:03 UTC 2026","passed","Sat Apr 11 10:51:03 UTC 2026","TestGradesStats","test_grades_stats","",""
"","34","test_stats_returns_200_without_params","tests","Sat Apr 11 10:50:47 UTC 2026","passed","Sat Apr 11 10:50:47 UTC 2026","TestGradesStats","test_grades_stats","",""
"","51","test_stats_returns_200_with_student_id","tests","Sat Apr 11 10:50:48 UTC 2026","passed","Sat Apr 11 10:50:48 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_filter_by_student_id_returns_correct_count","tests","Sat Apr 11 10:50:55 UTC 2026","passed","Sat Apr 11 10:50:55 UTC 2026","TestGradesStats","test_grades_stats","",""
"","153","test_stats_avg_calculated_correctly","tests","Sat Apr 11 10:50:54 UTC 2026","passed","Sat Apr 11 10:50:54 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_stats_min_is_none_when_no_data","tests","Sat Apr 11 10:50:50 UTC 2026","passed","Sat Apr 11 10:50:50 UTC 2026","TestGradesStats","test_grades_stats","",""
"","48","test_nonexistent_student_returns_count_zero","tests","Sat Apr 11 10:51:08 UTC 2026","passed","Sat Apr 11 10:51:08 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_filter_by_student_and_teacher_returns_correct_count","tests","Sat Apr 11 10:51:05 UTC 2026","passed","Sat Apr 11 10:51:05 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_filter_by_student_and_teacher_returns_correct_max","tests","Sat Apr 11 10:51:07 UTC 2026","passed","Sat Apr 11 10:51:07 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_filter_by_student_id_returns_correct_max","tests","Sat Apr 11 10:50:57 UTC 2026","passed","Sat Apr 11 10:50:57 UTC 2026","TestGradesStats","test_grades_stats","",""
"","48","test_nonexistent_student_returns_avg_none","tests","Sat Apr 11 10:51:10 UTC 2026","passed","Sat Apr 11 10:51:10 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_filter_by_teacher_id_returns_correct_count","tests","Sat Apr 11 10:50:58 UTC 2026","passed","Sat Apr 11 10:50:58 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_stats_avg_is_none_when_no_data","tests","Sat Apr 11 10:50:51 UTC 2026","passed","Sat Apr 11 10:50:51 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_nonexistent_student_returns_max_none","tests","Sat Apr 11 10:51:09 UTC 2026","passed","Sat Apr 11 10:51:09 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_filter_by_student_id_returns_correct_min","tests","Sat Apr 11 10:50:56 UTC 2026","passed","Sat Apr 11 10:50:56 UTC 2026","TestGradesStats","test_grades_stats","",""
"","2","test_stats_returns_403_without_token","tests","Sat Apr 11 10:50:49 UTC 2026","passed","Sat Apr 11 10:50:49 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_filter_by_group_id_returns_correct_count","tests","Sat Apr 11 10:51:02 UTC 2026","passed","Sat Apr 11 10:51:02 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_nonexistent_student_returns_min_none","tests","Sat Apr 11 10:51:08 UTC 2026","passed","Sat Apr 11 10:51:08 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_filter_by_group_id_returns_correct_max","tests","Sat Apr 11 10:51:04 UTC 2026","passed","Sat Apr 11 10:51:04 UTC 2026","TestGradesStats","test_grades_stats","",""
"","153","test_stats_max_calculated_correctly","tests","Sat Apr 11 10:50:53 UTC 2026","passed","Sat Apr 11 10:50:53 UTC 2026","TestGradesStats","test_grades_stats","",""
"","48","test_stats_returns_200_with_teacher_id","tests","Sat Apr 11 10:50:48 UTC 2026","passed","Sat Apr 11 10:50:48 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_filter_by_teacher_id_returns_correct_min","tests","Sat Apr 11 10:50:59 UTC 2026","passed","Sat Apr 11 10:50:59 UTC 2026","TestGradesStats","test_grades_stats","",""
"","157","test_stats_min_calculated_correctly","tests","Sat Apr 11 10:50:52 UTC 2026","passed","Sat Apr 11 10:50:52 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_filter_by_teacher_id_returns_correct_max","tests","Sat Apr 11 10:51:00 UTC 2026","passed","Sat Apr 11 10:51:00 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_stats_returns_200_with_group_id","tests","Sat Apr 11 10:50:49 UTC 2026","passed","Sat Apr 11 10:50:49 UTC 2026","TestGradesStats","test_grades_stats","",""
"","59","test_stats_consistency","tests","Sat Apr 11 10:51:10 UTC 2026","passed","Sat Apr 11 10:51:10 UTC 2026","TestGradesStats","test_grades_stats","",""
"","50","test_stats_max_is_none_when_no_data","tests","Sat Apr 11 10:50:50 UTC 2026","passed","Sat Apr 11 10:50:50 UTC 2026","TestGradesStats","test_grades_stats","",""
"","49","test_filter_by_student_and_teacher_returns_correct_min","tests","Sat Apr 11 10:51:06 UTC 2026","passed","Sat Apr 11 10:51:06 UTC 2026","TestGradesStats","test_grades_stats","",""
